asin,title,price,cat_label,categories,description,imUrl
B005PY43IG,Kirkland Men's Cotton Briefs Size 32-38 (White - Pack of 6) (38),3.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Clothing', 'Underwear', 'Briefs']","The Kirkland Signature Men's Briefs combine our 100% combed cotton fabric and reinforced seams to produce one of the most durable and comfortable briefs you've ever worn. The Kirkland Signature Men's Briefs are treated with the AEGIS Microbe Shield, a revolutionary antimicrobial technology which provides protection against odor, staining and deterioration. Permanently bonded to the fabric, the AEGIS Microbe Shield combines with the durable heavyweight cotton fabric and reinforced seams to produce one of the most durable and comfortable briefs you've ever worn. Just the kind of quality you expect from Kirkland Signature. 100% combed ringspun cotton. Machine wash warm. Separate from dark colors. Non-chlorine bleach when needed. Tumble dry low. Warm iron if desired.",http://ecx.images-amazon.com/images/I/41g7AwxndwL._SY300_.jpg
B001PTGFC2,Spira Women's Striker Mesh Running Shoe,164.94,Shoes,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Athletic', 'Running']","When running is a part of your daily routine, you'll need a shoe that can step up to the plate. The Striker runner from Spira features everything that you need, from a breathable mesh upper, to durable rubber-tractioned sole. Spira's spring technology promotes reduction of shock impact, so you'll be energized and comfortable with every running experience.",http://ecx.images-amazon.com/images/I/51QTqn3bUVL._SY300_.jpg
B000HDJC5E,Men's Wenger 73114 Standard Issue XL Watch with Leather Band,177.26,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","Wenger Standard Issue XL Watch. Don't let the name fool you... ... there's nothing standard about this collection. One of the first watches Wenger ever made, the Standard Issue quickly became a signature. A quick look demonstrates why it remains so today. Clearly, classic style enjoys longevity... especially when enhanced by meticulous redesign, resulting in a Watch that is literally bigger and more impressive than its worthy predecessor. Take a closer look: Stylish brushed stainless steel case and caseback; Precise Swiss quartz movement keeps you on time; Luminous hands and markers for easy reading in the dark; Water-resistant to 330 ft. (100m); Mineral crystal face; Date display at 3 o'clock; Genuine calfskin leather strap band with metal buckle; Military time function; Case measures 39 mm (1.54""). Band measures 20 mm (0.78""). Backed by a 3-yr. mfr. limited warranty. State Style. Order yours today! Men's Wenger 73114 Standard Issue XL Watch with Leather Band",http://ecx.images-amazon.com/images/I/41lpDdK3YwL._SY300_.jpg
B005XZETHM,Steven Harris Tie - Guitar Assortment,9.89,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Neckties']",This CMC Guitar Assortment Tie features a great guitar design and is hand made with 100% polyester. Will make a perfect gift for the guitar-lovers in your life.,http://ecx.images-amazon.com/images/I/31sJDW9M9UL._SX300_.jpg
B00J11Y9O2,Sea-side Performance Tank Top,13.95,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Tops & Tees', 'Tanks & Camis']","Lightweight Performance tank with slimming inlays. Moisture resistant polyamide material enhances comfort while slimming navy insert provides an athletic and attractive fit. This item was designed for women looking for a tighter fit. We recommend to order it 1 size larger if you want a longer or less body fitting item. Navy side inserts and trim at neck opening. This supersoft polyamide tank top can be complemented by our Performance Sports Bra. Loriet Lion trademark printed on bottom left of tank.

Founded in 2004, Loriet unites traditional and contemporary tennis fashions by using advanced fabric technology.

Loriet's Active Cool products are unparalleled in quality, comfort and performance. Loriet's fabric technology provides product versatility making Loriet ideal for a wide array of activities such as tennis, golf, sailing, yoga and running.

All Loriet performance products are tested by professional athletes and worn through-out the year by professional tennis players competing at the highest levels, including all 4 Grand Slam tournaments, Davis Cup, Fed Cup, as well as ATP and WTA tournaments.

Learn more about Loriet at Loriet.com.

WEAR THE LION!",http://ecx.images-amazon.com/images/I/41nc8W3%2BKmL._SY300_.jpg
B007TJD4E4,"Ergodyne CORE Performance Work Wear 6488 Fleece Multi-Band, Red Western",18.0,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps']","These Hi-Tech circular knit beauties are stretchable, breathable, washable and just plain able. Able to wick moisture faster than anything on the planet. Able to repel odors through special anti-bacterial treatments. Able to protect from dust and other particles that get in places they shouldn't. Wear a CORE Multi-band and your life will be forever changed - for the better. Constructed using advanced materials and designed with occupational athletes in mind. It also means technical yarns for moisture management and strong defense against vile, evil odor causing bacteria.",http://ecx.images-amazon.com/images/I/316Fcw-sx7L.jpg
B009EW8QG0,Microwave Heated Arthritis Slippers - Dark Blue Fleece- MEN'S -Medium/ Large 11-12 Microwave or Freezer Safe,21.99,Shoes,"['Clothing, Shoes & Jewelry', 'Men', 'Shoes', 'Slippers']","You can freeze these Men's Spa Sox Therapeutic Slippers to ease sprains, bruising and swelling or microwave for heat. Made from super soft and plush fleece, these slippers are filled with temperature-sensitive linseeds. Heat the slippers in the microwave to relax your aching feet, or slip them on after they've been in the freezer to help reduce swelling. The linseeds retain their temperature for long-lasting comfort. Microwave in 20 second intervals until desired warmth is achieved. Then slip the spa sox  over your feet and relax. Feel the softness of these slippers surround your feet and caress your toes in cozy warmth. OR, place in a clean, sealed plastic bag and let it stay in the freezer for a few hours. Indulge yourself after a long hard day. Savor the plush coolness as it gently drapes over your feet. Hot or cold - these spa sox therapeutic slippers  will pamper and coddle your feet. Men's Medium/ Large  fits sizes 11-12",http://ecx.images-amazon.com/images/I/41002k5XxKL._SY300_.jpg
B00BD473PC,Blank Acrylic Winter Cuff Beanie Hat Toque Cap (Many Colors Available!),6.98,Men Clothing,"['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Hats & Caps', 'Skullies & Beanies']","Try our comfortable & light weight acrylic winter beanie hats. These beanie hats are a one-size-fits-most hat that are extremely durable & wind resistant. These acrylic beanie hats are great because they take colors well, machine washable, resistant to moths, oils, chemicals, and are not vulnerable to deterioration from sunlight exposure. Buy a family member or friends YoNimo beanies, we have a selection of different colors to choose from to help you stay warm in the winter, and cover your ears from unwanted temperatures. After testing many different fabrics, we found that our TAGLESS acrylic hats will not itch or cause skin irritation, despite duration of use, the optimal winter hat. Order one today, you will not be disappointed!THESE HATS ARE MANUFACTURED BY YONIMO AND NOT ANY OTHER BRAND",http://ecx.images-amazon.com/images/I/51zpUxv1SDL._SY300_.jpg
B002DGU6X0,Men's Wenger 72233 AquaGraph 1000m Diver's Watch with Rubber Strap Band,199.84,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","Swiss excellence built to go DEEP! Wenger AquaGraph 1,000m Diver's Watch for land and sea. Fine Swiss craftsmanship and engineering produces a timepiece fit for those seeking to uncover hidden treasures, or for enjoying recreational dives, water sports, even high altitude adventure! Outstanding function for time spent in the deep blue, classic Wenger style and quality for adventures ""topside""... an outstanding choice by land or by sea. Check it out: Gorgeous brushed stainless steel case and screw-on caseback; Precise Swiss quartz movement; Water resistant to 1,000 meters (3,280 ft.); Luminous hands, numerals and markers for time-telling in darkness; Unidirectional rotating bezel with luminous marker at zero position; Mineral crystal face; Rubber strap bracelet with metal buckle; Date display; Case measures 43 mm (1.7""). Bracelet measures 22 mm (0.86""). Backed by Wenger's 3-yr. limited warranty. State Style. Order yours today! Men's Wenger 72233 AquaGraph 1,000m Diver's Watch with Rubber Strap Band",http://ecx.images-amazon.com/images/I/51KddOV0kLL._SY300_.jpg
B002AMW3XI,Taymor Stainless Steel Hair Dryer Holder,11.45,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Lingerie, Sleep & Lounge']","Don't keep your hair dryer hidden, keep it handy with this stainless steel hair dryer holder with concealed back plate.  A convenient way to store your hair dryer, can hold your hair dryer in a variety of positions.  Easy to install but tools are required for mounting.  Comes with mounting hardware.  Hair dryer holder is light-weight, weighing in at 7.6 oz.  It is made from stainless steel and is packed 8 pieces to a case in a clear clam-shell retail package with color backcard.   Measures 4"" H and 3"" Diameter with Back plate measuring 1 1/4"" Diameter.",http://ecx.images-amazon.com/images/I/41t9fu6cbKL._SY300_.jpg
