reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A38OF6DP1VDQ2Y,1397458135,"Terri Eggert ""mysticlady""","[0, 0]",Bought this for a present for my husband and he seems to like it.  He wears it all the time.,4.0,great watch,1368403200,"05 13, 2013"
A1M1JT61RKZ4CB,4759817492,michael,"[0, 0]",I use to this pocket watch for work. i work in a warehouse so it goes through a lot. it keeps time very well also looks pretty sweet  it has a glass cover but the face of the watch is plastic and it sometimes pops out when you open it but there is really no need to open it the front cover is also magnified but over all its a great buy and a really awesome watch and great for the price,5.0,great pocket watch,1379116800,"09 14, 2013"
A3413TLTXQ38XN,B00004U3SF,Amazon Customer,"[3, 3]",Ordered size small 3/4 but they look more like a toddler 9/10 .  I believe size may be by age for child.  They are adorable shoes.  Too bad they were too small.,3.0,Beautiful shoes BUT WAY TOO SMALL,1359590400,"01 31, 2013"
A1BASGSNHU20MM,B00004U3SF,Amazon Customer,"[6, 6]","These are great for dressup, but become worn out quickly with too much use.",4.0,good dressup slippers,1175299200,"03 31, 2007"
A2UXN0H2PCT9WT,B00004U3SF,Blanca Collard,"[0, 0]",They are not size 9 they are like 2 I bought them for a 4 year old and it was for an 9 year old,1.0,Enormous,1365033600,"04 4, 2013"
A1A2I20OCM4SDQ,B00004U3SF,Bob Sam,"[0, 0]","My daughter lost her Dorothy shoes for a play in Halloween, and we found this ones, order and we got them right before the show (they got here when they say they would). The quality is very nice and they fit my daughter as if I had gone shop for them.",5.0,Great service,1227312000,"11 22, 2008"
A2KM1UFD41M7WV,B00004U3SF,CJ,"[0, 0]","They are the prettest Ruby Red slippers! They even came in Wizard of Oz box! She normally wears a 5 to a 6 depending on brand. The XS were just a little bit big, but nothing a little tissue didn't fix. So glad I bought them.",5.0,cute cute cute,1358985600,"01 24, 2013"
A2WE4M44WTOOUE,B00004U3SF,crystal,"[1, 1]",The shoe is very nice and sequined and official product! My daughter loves the look of it in the box however the size advertised for xsmall is a childs 1-2 so i ordered that size. The shoe came as very small closer to a toddler size.The box states the us size 10 so the sizing information online is incorrect. I would like to exchange but they will not refund my shipping although it is their mistake. Love the product wish she could wear it!,3.0,Nice shoe for costume,1382227200,"10 20, 2013"
A1ZJG0YA6E9B6,B00004U3SF,Glitterific,"[0, 2]","It's a shame-- my little Dorothy wanted to wear these, but they did NOT fit-- not even close to fitting..  Sizing should be clearer.",1.0,They just didn't fit,1387065600,"12 15, 2013"
A1EXV6OZ2UAHMA,B00004U3SF,Granny1518,"[0, 0]",Purchased for my granddaughter for Christmas.  Went to visit in September.  Still looks great.  Shows wear on soles but glitter is still there.  Did not fall off as much as I expected.  She loves it.,5.0,"Purchased at Christmas, still looks great 9 months later.",1383609600,"11 5, 2013"
A2HSW4TRSH1QT4,B00004U3SF,Jack,"[0, 1]","Beware. The item that I received does NOT look like this photo with a neat bow. Instead, it has a cheapy-looking bow with zig-zag edges that resemble bow-tie pasta. Just not nice. When I tried to return it, I had to wait two days before Toynk customer service would respond; then they wanted a description of the item received before they would even give me authorization to return the item. Huge hassle!",2.0,NOT AS PICTURED,1261353600,"12 21, 2009"
A2F2TVJEA2L90H,B00004U3SF,jane Hebert,"[0, 0]","These are perfect as a first pair of Ruby Slippers for your little Dorothy!  We gave these to our 2 1/2 year old great niece for Christmas and she immediately put them on to model them for us.  She needs to get to know Dorothy a bit more before she will allow us to put the dress on her, but she loves her Toto!",5.0,Adorable Shoe!,1389657600,"01 14, 2014"
A1A3CUQWQM3CJK,B00004U3SF,Laurel R. Haycraft,"[8, 9]","My daughter lives in these shoes.  She loves them!  I bought the XS and they're a little big on her feet (she's 2 and wears a toddler size 6).  The shoes do shed a lot of glitter so make sure to watch your little ones closely!  The soles of the shoes are pretty slick, as well.  The only traction is on the heel.  Overall, I'm very happy with the quality of these shoes.  :)",4.0,Tiny ruby slippers for tiny feet!,1262217600,"12 31, 2009"
A159D9N7D4NJNP,B00004U3SF,Megan Rickard,"[0, 0]",I bought these for my 7 year old for halloween.. She absolutely loved them! They are so pretty. She wore them for a few hours walking and never complained about Bering uncomfortable.. Her and my 4 year old use them as dress up shoes now and theyr still holding up.. I bought them in a size M and the fir her perfectly. She wears a size 12 1/2-13 in shoes! I would definitely recommend!,5.0,Perfect,1386547200,"12 9, 2013"
A3006M3L676UFN,B00004U3SF,"Nancy Greeley ""nagreeley""","[3, 5]",Worked great for halloween!!  They were a little big so I attatched elastic through the loop in the back of the shoe which worked well.,4.0,slippers,1194825600,"11 12, 2007"
A1SHXF5EVWSFTE,B00004U3SF,Shannon,"[0, 0]","Luckily I read the reviews about sizing. The size definitely isn't accurate. My daughter wears a size 6 shoe and I got her an extra small in the ruby slippers. I think the extra small says it's size 1-2. They are a little big but not a problem because she loves them so much, we'll get longer use out of them. Otherwise, they are beautiful and I wish I had these growing up. They look like the real ruby slippers that dorothy wore.",5.0,favorite christmas present,1388361600,"12 30, 2013"
A39T7N6JBOFYHM,B00004U3SF,Very Satisfied Customer,"[0, 0]",My daughter loved these for Halloween with her Dorothy costume!  They were comfortable and very cute! I would highly recommend!,5.0,Comfortable and true to size,1353283200,"11 19, 2012"
AEH5B1LHY5AEE,B00004VWJH,"""awyatt@starbucks.com""","[0, 0]","Absolutely amazing clogs!!!!  They rinse right off.... for those days in the garden:  pruning, weeding.  They are just as comfortable as their sandal counterparts, but you won't worry about getting them wet.  They look as durable as they are in the dirt and puddles.",5.0,Birki clogs are the best for perky days in the garden!!!,977270400,"12 20, 2000"
A33Z4TPE1AI8OP,B00004VWJH,Island Girl,"[0, 0]","These are perfect shoes for gardening. Sure, they're bright yellow and sometimes attract bees, but I can tromp around in muddy soil and hose them off so easily. They're easy to slip on and off, another plus. It's difficult to find shoes in my size, so I'm thrilled to have these.",5.0,Perfect gardening shoes,1295740800,"01 23, 2011"
A1P4RQNX5D7ORU,B00004VWJH,LaDonna Johnson,"[1, 1]","these birkenstock clogs are the answer to a gardener's prayer!  Slip these wonder shoes on and have not only instant comfort, but the easiest garden clean up ever!  After finishing your daily weeding or harvesting, grab your garden hose and simply rinse them off, inside and out, hang on a hook, and they are ready for your next foray into the wild!",4.0,GARDEN HEAVEN,978220800,"12 31, 2000"
AZFX7FLEHCWXM,B00004VWJH,"Mary G. Longorio ""Texasbookgirl""","[2, 2]","You cannot wear these shoes and not have a smile on your face!  Birki Super Clogs are not just a gardening clog, they make a great everyday shoe.  They combine durability, style and comfort with a touch of whimsey.  I work in the healthcare field and am on my feet all day.  These shoes provide support and comfort and durability.  Spills can be wiped away, shine can be restored with a wipe of armour-all.  If they need a through cleaning, just pull out the cork sole and throw the clogs in the washer.  I like to wear them when my teenage daughter insists we have to go shopping, it's gaurenteed to make her roll her eyes....but I have to grin ....my happy shoes!",5.0,Happy Shoes,974160000,"11 14, 2000"
AZFX7FLEHCWXM,B00004VWJW,"Mary G. Longorio ""Texasbookgirl""","[2, 3]","The Super Birki clog is not just a gardening clog.  I wear mine almost every day.  This is a comfortable and durable easy to wear  shoe that can be worn everyday.  I work in the health field and am on my feet every day, this shoe holds up and I don't come home with aching feet.  A bonus....pull out the insole and throw the clogs in the washing machine when they need to be cleaned, and shine them up with armor-all.  Good-looking, comfortable and durable, who could ask for anything more!",5.0,Multi purpose comfort and durability,974160000,"11 14, 2000"
APL6ZZF1063EG,B00004VWJW,Tehamaddmh,"[2, 2]","I ordered the product in my normal shoe size.  Unfortunately it was painfully short - at least a full size too short for a narrow foot.So I think 'No problem - Amazon has a great return policy'.I fill out the return form online, print the RMA & send 'em back.But Amazon does not include mis-sizing as a 'reason for return' on the RMA.  Since the decision to return the shoes was just my own choice then Amazon does not reimburse for return shipping.I guess it really doesn't matter though.  Two weeks have gone by since I returned them and there has been no sign of a refund anyway.My last three orders have been jacked one one way or the other (only one of three pieces delivered on one order - 35 days to get the complete product and the other product listed in stock - two weeks and it hasn't been shipped. the part that burns is that Amazon just has this lackadasical attitude ""... too bad - whatever""",3.0,Beware the fine print,1214956800,"07 2, 2008"
A1XX6EQ85ZO54,B00004VWKY,ladixielee,"[0, 0]","I've bought this brand before and they are wonderful, good quality, long lasting. They have a nice snug fit that makes them feel like you're wearing shoes, so no blisters from slipping. I work on a dairy, so the adjustable top keeps hay and straw from falling in my boots, which is nice!",4.0,great fit!,1402790400,"06 15, 2014"
