reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,title,price,cat_label,categories,description,imUrl,file_path
A318WZFS419OYW,B00580BN30,Heather H.,"[0, 0]",I love this keychain.  The one I bought in Oahu got lost somewhere and I was very happy to find this at Amazon.  It was the only place I could get it.,5.0,Mahalo,1375660800,"08 5, 2013",Hawaiian Key Chain Metal I Heart Blue Hawaii,4.99,Men Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Clothing', 'Men', 'Accessories', 'Keychains']",Hawaiian Island Style Key Chain. This adorable metal key chain is the perfect souvenir from the Islands. The engraved brushed metal finish makes this key chain a durable gift for loved ones or yourself. Measures: approximately 2.5 inches by .75 inch.,http://ecx.images-amazon.com/images/I/21I3h-lpg8L._SY300_.jpg,data/amazonproduct/images/B00580BN30.jpg
AKP7AM9OU19NF,B0089OE84I,Gary P a trick Callahan,"[1, 1]","This is a sharp looking, high quality item.  I like the stitched in USMC globe and anchor because it stands out over any sort of common lettering.  The cap itself is well made, not your average baseball cap.  I am exceedingly pleased with this purchase and would buy another one in a second if I needed to.  I think any Marine would appreciate this cap. Shipping was prompt, service great.  You will not be disappointed!",5.0,Super nice cap,1399507200,"05 8, 2014",US Marine Corps OD Green Ball Cap,18.95,Men Clothing,"['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Novelty', 'Clothing', 'Men', 'Accessories', 'Hats & Caps', 'Baseball Caps']",This USMC Olive Drab Green Ball Cap is directly embroidered onto a cotton twill cap with a sandwich trim. Fully adjustable embroidered strap. All of our Military hats are fully guaranteed. This Marines cap would make a wonderful addition to your collection or a great gift!,http://ecx.images-amazon.com/images/I/51xO7AaXXWL._SX300_.jpg,data/amazonproduct/images/B0089OE84I.jpg
A18ROM4X2MVEQK,B0028P8EG2,"Rama N. Toulon ""Nuka Cola Chaser""","[3, 3]","I love vintage glasses and while nerds may have been uncool in the bygone years, its a new trend now!",5.0,Vintage,1369872000,"05 30, 2013",Vintage &quot;Buddy&quot; Wayfarer Sunglasses - (6 Colors Available),8.13,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses']",These glasses embody the bold look and feel of the classic Wayfarers style. Color frame w/silver temple accents Vintage clear lenses from the 80's. Wayfarers are a style of sunglasses seen on many of today's celebrities and are now making a MAJOR comeback. Totally in keeping with current trends they are completely unisex - this style suits everyone!,http://ecx.images-amazon.com/images/I/41KWi7%2BSn-L._SX300_.jpg,data/amazonproduct/images/B0028P8EG2.jpg
A36KXHTLUH92FZ,B0000VA1RQ,D. Seo,"[0, 0]","It looks very nice in person. Looks clean sexy. Not too big, not too small. Perfect size for an averaged size person. This is my first watch and I'm glad I purchased this one. I love it!EDIT: this watch scratches easily. I left it on my car dashboard because it was hot and getting uncomfortable and the bottom of the band (around the clasp) has a bunch of scratch marks. The front glass however is very strong and durable. it always manages to stay clean and scratch free no matter what touches it.",5.0,I love it!,1308700800,"06 22, 2011",Swiss Army Men's Alliance Watch 24657,114.18,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']",A great round design. This is a perfect timepiece for everyday wear. Provides a dressy and modern look.,http://ecx.images-amazon.com/images/I/410dDCgbSjL._SY300_.jpg,data/amazonproduct/images/B0000VA1RQ.jpg
AKAPQCMCOZA87,B00385WYZS,Barbara C.,"[0, 0]","Well, I bought the first one for my son in March - it lasted a good two months and then one of the two binder clips snapped off. He was devastated. Then I bought this one for him and it lasted ... one week. And he is gentle with his all his Lego items and we own many sets. This is the first time I would not recommend a Lego product. It is fun and easy to put together but when it only lasts such a short amount of time it is not worth the money. This particular model, the binder clip got detached when he tossed it on a towel. A towel!",1.0,Second Lego kids watch purchased in three months!,1402617600,"06 13, 2014",LEGO Kids' 9002908 Star Wars Darth Vader Watch With Minifigure,19.85,Watches,"['Clothing, Shoes & Jewelry', 'Boys', 'Watches', 'Wrist Watches']","Perfect for young or old Star Wars fans, the LEGO Kids' Star Wars Darth Vader Watch features a fun, colorful dial with an image of LEGO Darth Vader and his lightsaber in front of an intergalactic scene. The white hour and minute hands and Arabic numeral hour indexes make it fun to tell time. You can customize the watchband with interchangeable links or change out the red bezel for the black one. Plus, the watch comes with a Darth Vader LEGO mini-figure. The LEGO Kids' Star Wars Darth Vader Watch is powered by Japanese quartz movement and features a scratch-resistant mineral crystal so not only does it look cool, it's reliable and durable. It's also water resistant to 165 feet (50 meters).",http://ecx.images-amazon.com/images/I/51XTi7Q55qL._SY300_.jpg,data/amazonproduct/images/B00385WYZS.jpg
A4B81LREZYZGF,B00B2JL64W,jeff labrosse,"[6, 6]","Works great,helps me keep my heart rate were I want it durring my workouts,its easy to use and put on",5.0,great for work outs,1384041600,"11 10, 2013",Timex Easy Trainer Heart Rate MonitoR with Resin Strap Watch,44.22,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","Improve your health, track your intensity and help meet your weight loss goals by being ""in the know."" The Timex&#xAE; Easy Trainer delivers essential fitness management data in a simple-to-operate watch.",http://ecx.images-amazon.com/images/I/51F8fW0C3SL._SX300_.jpg,data/amazonproduct/images/B00B2JL64W.jpg
A3JEBYK9KOE2GN,B001E96CP8,Andres,"[0, 0]","Very nice design, i wear it almost everydays. Very good for running in my case.  Easy buttons. The only thing bad is that not works for swimming but for the price and quality is awesome. For me is very nice. Highly recommended for runners",4.0,very nice for runners,1399248000,"05 5, 2014",Timex Men's T5K198 Ironman 30-Lap Endure Shock Watch,41.0,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Wrist Watches']","About Timex Timex Corporation is the nation's leading watch manufacturer. With a large and varied line of watches, Timex has the style for everyone. From the locker room to the board room, there's a great Timex time-piece for you. Look for Timex on the wrists of many great athletes competing in Ironman events world-wide. And like the best athletes, Timex keeps on ticking. High-performance durable watch, made of resin. 24-hour countdown timer and stopwatch. 30-lap memory and 99-lap counter. Shock-resistant and water-resistant up to 61 ft.. Dimensions: 10L x 1.5W x 0.5H in..",http://ecx.images-amazon.com/images/I/51MJeiEKbYL._SY300_.jpg,data/amazonproduct/images/B001E96CP8.jpg
AXKP32AJJ7XXQ,B004GHSW9O,davittll33,"[0, 0]","Was looking for a good watch that I could wear during my runs. The nice thing about this watch is that it's waterproof too. It's literally become my favorite watch by default as I never have to take it off ever. What I especially like about this watch is that it has a much bigger face than the normal watches which makes it very easy to glance at during a run, even in direct sunlight. It's also very light and when I'm wearing it, it feels like I'm not even wearing it at all.",4.0,Very nice watch to use while running.,1347840000,"09 17, 2012",Timex 50 Lap Midsize Ironman Watch - Women's,37.23,Watches,"['Clothing, Shoes & Jewelry', 'Women', 'Watches', 'Wrist Watches']",The Timex 50 Lap Midsize Ironman Watch for women is a sleek sports watch that is ideal for training or casual wear. The watch has tons of features to keep you on time no mater what your doing.Countdown timer with intervals.Alarm.Indiglo Night-Light.100m water resistant.,http://ecx.images-amazon.com/images/I/41H6aHsUaWL._SY300_.jpg,data/amazonproduct/images/B004GHSW9O.jpg
A1HGHF1FQF6BQ8,B004L28VYU,Donielle Mahan,"[0, 0]",I purchased this gift for my niece and she was so happy with it. She asked how did I know she wanted this. Alll the girls with I phones are asking for this. great purchase....,5.0,perfect gift for pre-teens,1356652800,"12 28, 2012",Vera Bradley Carry It All Wristlet in Baroque,24.39,Women Clothing,"['Clothing, Shoes & Jewelry', 'Women', 'Handbags & Wallets', 'Wristlets']",Vera Bradley Carry It All Wristlet,http://ecx.images-amazon.com/images/I/51RPktVjJmL._SX300_.jpg,data/amazonproduct/images/B004L28VYU.jpg
A1ZT0V1S4Z3KKF,B001AQON3S,D. Levine,"[0, 0]","The rubber band that came with my casio atomic... band is a bit tricky to get on with the correct tightness and comfort, but once you get the hang of it, no problem..would buy again, and probably will when needed.",5.0,Thousand times more comfortable then...,1358208000,"01 15, 2013",Chums The Band 20mm Wide Watch Band,8.99,Watches,"['Clothing, Shoes & Jewelry', 'Men', 'Watches', 'Watch Bands']","The Band is the ultimate action sports watchband when it comes to holding your valuable (or not so valuable) timepiece, GPS or monitor to your wrist. The Band is incredibly durable, and it's unique nylon wrap-around watch strap design, can handle any use and abuse you can dish out. 3/4"" / 20mm size fits most standard watches on the market. Soft 1.5"" wide base webbing for comfort and durability. Double wrap-around hook/loop design holds tight under all conditions.",http://ecx.images-amazon.com/images/I/410aRln4NDL._SY300_.jpg,data/amazonproduct/images/B001AQON3S.jpg
